pʰi	calf (of leg)
kʰu	chin
wat	angry (hear is bursting)
lwe	forget
ði	water
rɐŋ	alive/be living
kʰu	bitter
si	buffalo
rɐt	heavy
va	grandmother
kʰuk	knee
ʃit	eight
tʰɐ	bile
ŋum	round
we	mother
rɐ	medicine
nam	deceive
sɐ	comb
vu	uncle (mothers brother)
ðɐ	grandchild
ki	bite (v.)
si	tempt
ʃe	brain
tʰe	awaken
kʰi	bee
tʰok	fast/quick
li	buffalo
wu	bird (general)
kop	shoot (v.)
nɐ	seven
kon	cross
tsɐ	fear/frighten
lu	daughter
vu	father-in-law
tsɐ	four
tʰak	kick
kop	shoot
ʃap	able
tu	far
kɐ	nine
rɐk	throat
fak	pig
ðar	aunt (mother's younger sister)
kʰɐ	scratch/scrape
ja	look at
hur	fan onself
kʰu	cough
li	squirrel
tɐŋ	marrow
ham	pot
lɐt	self
pi	blind
ta	pine
vu	great grandfather
tʰɐk	lung/chest
tʰeŋ	dry
tsɐ	moon
pʰi	foot
ʃim	mortar
con	help
lu	ash/cinder
sam	hair (head)
ko	thin
kwe	break
ʔa	antler (of deer)
cir	saliva
tʰur	sour
ʃa	clan
fu	elephant
pwe	easy
vu	grandfather
car	white
jap	hit/strike
tʰuk	deep
le	field
tʰar	new
kup	finish
ʃim	sweet
ki	bite
ruk	six
ʃut	brush (teeth)
ŋun	corpse/dead body
ðo	bracelet
ʃuŋ	arrive
ði	big
nɐ	mother-in-law
him	Tibetan/Himalayan bear (Selenarctos thibetanus)
tʰum	hide
pʰi	leg
ðak	weave
kʰum	back
ji	leftside
ðej	ant
ʃi	decay
jak	ashamed
mi	tail (of animal)
pʰu	seek/search
pʰɐn	belly/abdomen (external bulge)
hwi	dog
ðu	eat (rice; v.)
sɐ	scoop out
ðot	rice (cooked)
tʰa	resemble/be like
nɐŋ	stand
som	rice (hulled)
com	be hungry
ma	dream
ʃe	produce/emerge
ʃuk	borrow
aw	father
naŋ	spin
mɐ	give
rɐ	intestines/bowels
kʰur	cave
hwi	dog (Canis familiaris)
rop	rib
lɐ	buy
se	thorn
kʰwe	fish
li	exist/be
nɐ	two
lɐ	steal
tɕe	burn
tɐk	pound/crush
kʰut	smoke
