vak	leftside
paj	defecate
tʰen	cause to dry
cor	spit
ca	ant 
mɐŋ	drink
vu	mother
wo	grandfather, uncle
kaw	thin
nɯ	laugh
la	shadow
rok	larynx
kej	bite
tsɐr	sister (younger than male ego)
kuj	head
va	go
pʰej	foot, leg
ci	fear (& frighten?), be afraid
ʃu	dove
tʰuj	wake up from sleeping
kʰur	anus
tʰɐr	new
ŋaj	want, desire (post-posed to main verb)
pet	soft
naw	child
ʃaj	eat (fruit)
wo	father-in-law
rik	burn (firewood)
kap	shoot
wo	grandfather
ra	untie
mej	tail
pʰɐn	blow
tʰi	bile
hɐr	fowl
rik	louse
tʰa	be like, resemble; cf. na ká thàà talè 'how are you?'
kʰuk	knee
jɐŋ	look
ʃok	scoop out
ku	twenty
cɐp	weep for someone
tʰi	die
ʃaj	eat fruit
pa	brother, girl younger  ML
lej	squirrel
ru	bone
nim	damp/gentle
fu	elephant
cuj	burn
kan	cross
naj	near
ha	bamboo
tsa	eat (e.g. rice)
ʃi	blood
na	hear
ja	agree/accept
tuŋ	descend, go down; do in downward path (postp.)
ʃok	emerge
won	flower
tʰi	die for something
mik	eye
cɐr	white
pʰaŋ	branch
sar	old
rit	heavy
nɐp	snot
nu	breast
tʰuj	rise up, wake up
huj	wither/fade
fu	dog
ri	intestines
ruk	six
va	bird
ʃɐŋ	clan
mak	brother-in-law
rɐr	uncle (fathers older brother)
kuj	horse
hut	leech
rap	rib
nu	laugh
kaj	break
tʰɐr	clean
wo	uncle (mothers brother)
ru	egg (hàr 'chicken' + -ru 'water')
tsar	male's younger sister
si	comb
tsa	be sick
ʔi	I
ta	fall (from a height)
kʰej	crooked/bent
nɐm	smell
riŋ	alive
met	squeeze
ri	intestines (ak´ri)
paj	fly
kuj	cold
ʃɐp	be skilled at, be adept at, well versed in; be enough?
pʰej	foot
lej	tongue
ru	grandchild
ci	horn
ʔa	he/she
kap	shoot one another
ra	come
ruj	toast
si	blood
to	brother (younger than male ego)
ja	palm (of hand)
tʰen	dry
tʰeŋ	dry
ri	medicine
ʃat	eight
ru	egg
juŋ	root
wo	great grandfather
kʰum	back
ʃat	thorn
tsik	black
ku	insect/bug/vermin
tʰak	fast, quick, come before time
ni	two
luŋ	stone
pim	needle
ru	water
kwi	horse
ʃok	emerge, exit, occur, happen; do in exiting/emerging path (postp.)
tʰɐt	kill
saŋ	long
tsiŋ	sky/rain
tʰaw	drive
tii	four
ʃuj	decay
tʰum	hide
vat	angry
caw	deer
na	leaf
rak	weave
vak	leftside
ni	aunt, mother-in-lw
ŋom	bear
tʰej	fruit
sɐm	hair (head)
pʰa	search
pʰen	belly
kʰaj	crab
sa	body
sa	animal, meat
tʰik	chest
cɐp	weep, cry
ʃuŋ	arrive
mor	mouth
paj	fly, jump
niŋ	stand
riŋ	alive; + phaa 'be happy'
riŋ	be alive
ʃut	rub
hɐm	pot
nɐk	be fine
rɐk	weave
rik	armpit
ni	aunt (fathers sister)
paŋ	arm
tɐk	grind, crush
cuj	dig
ʃaj	eat
cuj	burn; burning fire
kʰaj	fish
sɐm	run/flee
luj	water buffalo
cap	weep
pew	be blind
tsa	eat
kʰa	be bitter
ti	four
ʃok	come out
va	father
ta	fall from height
tʰaw	oil
tek	green
jor	sell
wuk	belly (exterior)
wuk	belly
kej	kidney
ŋa	five
cuj	burn, ignite
raj	wait for someone
kʰuj	bee
mi	person
ci	fear/frighten
niŋ	spin
ca	necklace
lek	lick
ho	call
ri	iron
ʃa	hundred
ni	seven
mej	brother (older than ego)
tʰak	kick
ʃuk	borrow
ra	ten
tok	brain
co	saliva (-co 'spit' + -ru 'water')
cuj	tall
niŋ	think
ka	climb, ascend, up; do in upward path (postp.)
su	tie
sun	join
pʰa	seek/search
kʰot	scratch
pʰə	snake
ko	nine
jɐp	hit with a stick
tʰin	liver
na	ear
kʰɐk	breath
rɐm	land
tʰum	three
paŋ	hand
tsɐŋ	enter
ok	rat
ʃur	follow
rum	add together, together
tʰaw	fat
tʰuk	deep
sam	hair (on head)
sa	hot/spicy/pungent
tɐŋ	pine
ʃuŋ	correct
ʃa	thick
rɐk	make a basket; to weave
kɐj	bite
kʰa	cough
kuu	insect
nɐp	stick (v.)
lej	exist, have, be
luŋ	heart
kʰut	smoke
caj	lip
pʰa	snake (ph´$
tʰiŋ	tree/wood/stick
miŋ	name
la	bow, arrow
lej	earth
wan	flower
vu	carry on shoulders
co	spit
muk	cattle
kʰa	bitter
kum	year
li	steal
kup	finish
pʰuŋ	mountain
ni	mother-in-law
ʃim	house
cap	weep, cry
hɐn	expect
na	nose
hok	pig
kʰaj	knife
ŋun	corpse
kʰa	chin
tʰuj	awaken, wake up, leave, sprout (plant)
tɐt	cut (meat)
tuj	word/speech
hɐn	curry
min	ripe/well-cooked
tʰur	sour; bitter (person)
kor	bark
lo	buy
kʰam	door
juj	leftside
ha	tooth
ruŋ	pound
hur	fan
naj	knead
tsa	ill
ha	hair (on body)
mej	comparative degree
sa	do/make
kʰot	scratch/scrape
tsej	spear
lum	warm
pʰar	lung
lɐt	self
caŋ	moon
kuj	pestle
cuŋ	many, a lot of
sam	rice (hulled)
